seqnames	start	end	width	strand	name	log2FC.CD28.negative_vs_CD28.positive.	strand.1	CD28.negative	CD28.positive	summit	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	59318056	59318455	400	*	CD28-negative	1.11756352457335	+	99.0658459644528	45.6566255101787	59318255	Intron (ENST00000582567.1/55277, intron 1 of 2)	1	59310087	59762728	452642	1	55277	ENST00000371212.5	7969	FGGY
chr1	59389861	59390260	400	*	CD28-negative	1.29387544992346	+	87.9556576319908	35.8730629008547	59390060	Intron (ENST00000634606.1/55277, intron 4 of 16)	1	59393208	59626023	232816	1	55277	ENST00000475949.5	-2948	FGGY
chr1	59409557	59409956	400	*	CD28-negative	1.0115276726615	+	173.133768180866	85.8779384596219	59409756	Intron (ENST00000634606.1/55277, intron 4 of 16)	1	59393208	59626023	232816	1	55277	ENST00000475949.5	16349	FGGY
chr1	59474046	59474445	400	*	CD28-negative	1.1731364046205	+	473.10885315734	209.803064844393	59474245	3' UTR	1	59512316	59660423	148108	1	55277	ENST00000485720.1	-37871	FGGY
chr1	59494452	59494851	400	*	CD28-negative	1.20335101766751	+	67.5869790224771	29.350687827972	59494651	Intron (ENST00000634606.1/55277, intron 5 of 16)	1	59512316	59660423	148108	1	55277	ENST00000485720.1	-17465	FGGY
chr1	61302304	61302703	400	*	CD28-negative	1.18039166048075	+	290.716594699422	128.273376433359	61302503	Intron (ENST00000371191.5/4774, intron 3 of 10)	1	61277306	61457876	180571	1	4774	ENST00000655770.1	24998	NFIA
chr1	61332240	61332639	400	*	CD28-negative	1.35337646167212	+	130.544712906428	51.0919380709143	61332439	5' UTR	1	61352450	61404226	51777	1	4774	ENST00000482020.1	-19811	NFIA
chr1	65215581	65215980	400	*	CD28-negative	1.00760162483039	+	133.322259989544	66.3108132409738	65215780	Intron (ENST00000497030.5/205, intron 3 of 5)	1	65248219	65366194	117976	1	9829	ENST00000463018.5	-32239	DNAJC6
chr1	76494750	76495149	400	*	CD28-negative	1.13098404033567	+	49.995847496079	22.8283127550894	76494949	Intron (ENST00000328299.4/256435, intron 3 of 4)	1	76313913	76577209	263297	1	256435	ENST00000464140.1	180837	ST6GALNAC3
chr1	83520824	83521223	400	*	CD28-negative	1.13519629162258	+	45.3666023575531	20.6541877307951	83521023	Distal Intergenic	1	83446068	83480024	33957	1	101927542	ENST00000664539.1	74756	NA
chr1	83583618	83584017	400	*	CD28-negative	1.25716114641281	+	80.5488654103495	33.6989378765605	83583817	Intron (ENST00000417975.1/101927587, intron 2 of 2)	1	83446068	83480024	33957	1	101927542	ENST00000664539.1	137550	NA
chr1	88982099	88982498	400	*	CD28-negative	1.10073366168492	+	193.50244679038	90.2261885082103	88982298	3' UTR	1	88935773	88988355	52583	2	56267	ENST00000446900.6	5857	KYAT3
chr1	89070361	89070760	400	*	CD28-negative	1.22092616564847	+	48.1441494406686	20.6541877307951	89070560	Distal Intergenic	1	89062707	89065230	2524	2	2633	ENST00000469194.1	-5131	GBP1
chr1	91763245	91763644	400	*	CD28-negative	1.06518857860999	+	921.21978256664	440.26031741958	91763444	Intron (ENST00000533089.5/7049, intron 5 of 19)	1	91727777	91766432	38656	2	7049	ENST00000468996.2	2788	TGFBR3
chr1	93701647	93702046	400	*	CD28-negative	1.48462099495037	+	42.5890552744376	15.2188751700596	93701846	Intron (ENST00000370244.5/8412, intron 3 of 13)	1	93561741	93681837	120097	2	8412	ENST00000260502.11	-19810	BCAR3
chr1	99992981	99993380	400	*	CD28-negative	1.10183769467615	+	58.3284887454255	27.1765628036778	99993180	Promoter	1	99993043	100015341	22299	1	23443	ENST00000422078.1	0	SLC35A3
chr1	100746144	100746543	400	*	CD28-negative	1.21907536996053	+	75.9196202718236	32.6118753644134	100746343	Distal Intergenic	1	100719764	100739038	19275	1	7412	ENST00000370115.1	26380	VCAM1
chr1	109890205	109890604	400	*	CD28-negative	1.38990233769723	+	37.0339611082067	14.1318126579125	109890404	Distal Intergenic	1	109910242	109921880	11639	1	1435	ENST00000527192.5	-19638	CSF1
chr1	110235948	110236347	400	*	CD28-negative	1.12205091556566	+	42.5890552744376	19.567125218648	110236147	3' UTR	1	110223830	110229151	5322	1	3749	ENST00000636402.1	12118	KCNC4
chr1	114745374	114745773	400	*	CD28-negative	1.07826922353775	+	110.176034296915	52.1790005830614	114745573	Intron (ENST00000339438.10/7812, intron 2 of 18)	1	114737988	114746859	8872	2	7812	ENST00000534389.2	1086	CSDE1
chr1	147030287	147030686	400	*	CD28-negative	1.02367101619304	+	68.5128280501823	33.6989378765605	147030486	Intron (ENST00000444082.2/728989, intron 9 of 14)	1	147019656	147056593	36938	2	728989	ENST00000444082.2	25907	NA
chr1	150181493	150181892	400	*	CD28-negative	1.17051240452231	+	34.2564140250912	15.2188751700596	150181692	Downstream (<=300bp)	1	150173049	150181429	8381	1	105371433	ENST00000647691.1	8444	NA
chr1	151494815	151495214	400	*	CD28-negative	1.47367069538983	+	69.4386770778875	25.0024377793836	151495014	Distal Intergenic	1	151510510	151519029	8520	1	57530	ENST00000505188.5	-15296	CGN
chr1	156369027	156369426	400	*	CD28-negative	1.02475371421075	+	39.8115081913221	19.567125218648	156369226	Promoter	1	156369211	156385219	16009	1	57127	ENST00000537040.6	0	RHBG
chr1	158716363	158716762	400	*	CD28-negative	1.25244755282134	+	191.650748734969	80.4426258988863	158716562	3' UTR	1	158717168	158718163	996	2	391114	ENST00000368146.1	1401	OR6K3
chr1	161351505	161351904	400	*	CD28-negative	1.10658269684554	+	248.127539424985	115.228626287594	161351704	Intron (ENST00000342751.8/6391, intron 4 of 4)	1	161364733	161367876	3144	2	257177	ENST00000367974.2	15972	CFAP126
chr1	176164301	176164700	400	*	CD28-negative	1.02406883641916	+	108.324336241504	53.2660630952085	176164500	Intron (ENST00000367667.5/64326, intron 3 of 17)	1	175944832	176184664	239833	2	64326	ENST00000367666.5	19964	RFWD2
chr1	178273697	178274096	400	*	CD28-negative	1.22784557958826	+	122.212071657082	52.1790005830614	178273896	Intron (ENST00000367649.8/9462, intron 1 of 17)	1	178341471	178484147	142677	1	9462	ENST00000462775.5	-67375	RASAL2
chr1	180338792	180339191	400	*	CD28-negative	1.05381617981321	+	36.1081120805015	17.3930001943538	180338991	Intron (ENST00000642319.1/100527964, intron 6 of 13)	1	180272602	180276224	3623	2	100527964	ENST00000440959.2	-62568	ACBD6
chr1	181846705	181847104	400	*	CD28-negative	1.12830990603734	+	71.2903751332978	32.6118753644134	181846904	Distal Intergenic	1	181776101	181783784	7684	1	777	ENST00000644521.1	70604	CACNA1E
chr1	186993032	186993431	400	*	CD28-negative	1.1040169927354	+	49.0699984683738	22.8283127550894	186993231	Distal Intergenic	1	187070700	187686130	615431	1	106144535	ENST00000643891.1	-77269	LINC01037
chr1	186995860	186996259	400	*	CD28-negative	1.22784557958826	+	91.6590537428115	39.134250437296	186996059	Distal Intergenic	1	187070700	187686130	615431	1	106144535	ENST00000643891.1	-74441	LINC01037
chr1	189859373	189859772	400	*	CD28-negative	1.24646125775561	+	36.1081120805015	15.2188751700596	189859572	Distal Intergenic	1	190216952	190226196	9245	2	339479	ENST00000463404.1	366424	BRINP3
chr1	193043141	193043540	400	*	CD28-negative	1.14187235647841	+	52.7733945791945	23.9153752672365	193043340	Intron (ENST00000367455.8/51377, intron 3 of 10)	1	193015759	193029575	13817	2	51377	ENST00000420791.5	-13566	UCHL5
chr1	193797220	193797619	400	*	CD28-negative	1.3377796066211	+	85.1781105488753	33.6989378765605	193797419	Intron (ENST00000656143.1/ENST00000656143.1, intron 2 of 5)	1	193349131	193365953	16823	1	101929184	ENST00000660270.1	448089	LINC01031
chr1	197174109	197174508	400	*	CD28-negative	1.17176965518217	+	75.9196202718236	33.6989378765605	197174308	Intron (ENST00000367405.5/360023, intron 9 of 10)	1	197158442	197200521	42080	2	360023	ENST00000467322.1	26013	ZBTB41
chr1	197738978	197739377	400	*	CD28-negative	1.09034205583832	+	50.9216965237841	23.9153752672365	197739177	Intron (ENST00000620048.6/163486, intron 2 of 22)	1	197658300	197735529	77230	2	163486	ENST00000294738.5	-3449	DENND1B
chr1	198136164	198136563	400	*	CD28-negative	1.20198741166723	+	217.574521510714	94.5744385567988	198136363	Distal Intergenic	1	198156994	198253078	96085	1	140609	ENST00000442588.5	-20431	NEK7
chr1	208604325	208604724	400	*	CD28-negative	1.21717207807381	+	93.5107517982218	40.2213129494431	208604524	Distal Intergenic	1	208728665	208736286	7622	1	105372893	ENST00000666184.1	-123941	NA
chr1	210882780	210883179	400	*	CD28-negative	1.22213192839387	+	58.3284887454255	25.0024377793836	210882979	Intron (ENST00000367007.5/3756, intron 7 of 11)	1	210919759	211019190	99432	2	3756	ENST00000639385.1	136011	KCNH1
chr1	217857494	217857893	400	*	CD28-negative	1.03144836678476	+	55.55094166231	27.1765628036778	217857693	Intron (ENST00000366933.5/128153, intron 9 of 10)	1	217862775	217867133	4359	1	128153	ENST00000491809.1	-4882	SPATA17
chr1	220161095	220161494	400	*	CD28-negative	1.32356765245606	+	443.481684270775	177.191189479979	220161294	Intron (ENST00000358951.7/25782, intron 28 of 34)	1	220151605	220154428	2824	2	25782	ENST00000491305.1	-6667	RAB3GAP2
chr1	220161608	220162007	400	*	CD28-negative	1.18345146022981	+	88.881506659696	39.134250437296	220161807	Intron (ENST00000358951.7/25782, intron 28 of 34)	1	220151605	220154428	2824	2	25782	ENST00000491305.1	-7180	RAB3GAP2
chr1	221630347	221630746	400	*	CD28-negative	1.05529510873912	+	56.4767906900151	27.1765628036778	221630546	Distal Intergenic	1	221702427	221711816	9390	2	11221	ENST00000494642.1	81070	DUSP10
chr1	221691288	221691687	400	*	CD28-negative	1.15577650178696	+	302.752632059589	135.882814018389	221691487	Distal Intergenic	1	221702427	221711816	9390	2	11221	ENST00000494642.1	20129	DUSP10
chr1	221824053	221824452	400	*	CD28-negative	1.65593923169255	+	102.769242075273	32.6118753644134	221824252	Intron (ENST00000665303.1/101929771, intron 4 of 4)	1	221819842	221840689	20848	2	101929771	ENST00000665303.1	16237	RP11-191N8.2
chr1	226026693	226027092	400	*	CD28-negative	1.04143245535738	+	53.6992436068996	26.0895002915307	226026892	Distal Intergenic	1	225982702	225999343	16642	2	163859	ENST00000272091.8	-27350	SDE2
chr1	240622469	240622868	400	*	CD28-negative	1.09034205583832	+	87.9556576319908	41.3083754615903	240622668	Distal Intergenic	1	240489573	240612155	122583	2	64388	ENST00000318160.5	-10314	GREM2
chr1	242225609	242226008	400	*	CD28-negative	1.83880328884236	+	77.771318327234	21.7412502429422	242225808	Intron (ENST00000536534.7/200150, intron 4 of 9)	1	242235462	242265433	29972	2	200150	ENST00000474177.1	39425	PLD5
chr10	1323989	1324388	400	*	CD28-negative	1.35337646167212	+	36.1081120805015	14.1318126579125	1324188	Intron (ENST00000381312.6/105, intron 3 of 9)	10	1215676	1240530	24855	2	105	ENST00000469464.1	-83459	ADARB2
chr10	2948451	2948850	400	*	CD28-negative	1.04258892438996	+	192.576597762675	93.4873760446516	2948650	Distal Intergenic	10	3066333	3101554	35222	1	5214	ENST00000607886.5	-117483	PFKP
chr10	2978074	2978473	400	*	CD28-negative	1.02367101619304	+	68.5128280501823	33.6989378765605	2978273	Distal Intergenic	10	3066333	3101554	35222	1	5214	ENST00000607886.5	-87860	PFKP
chr10	3527129	3527528	400	*	CD28-negative	1.18831721540162	+	91.6590537428115	40.2213129494431	3527328	Distal Intergenic	10	3486631	3502915	16285	2	101927880	ENST00000413993.2	-24214	NA
chr10	3926770	3927169	400	*	CD28-negative	1.38139083784172	+	144.432448322006	55.4401881195027	3926969	Intron (ENST00000664393.1/ENST00000664393.1, intron 1 of 2)	10	3991160	3991259	100	1	102464829	ENST00000611069.1	-63991	MIR6078
chr10	4344637	4345036	400	*	CD28-negative	1.00942206045476	+	48.1441494406686	23.9153752672365	4344836	Distal Intergenic	10	4384246	4410612	26367	1	100507059	ENST00000454152.1	-39210	LINC00703
chr10	6058664	6059063	400	*	CD28-negative	1.02124411550821	+	443.481684270775	218.49956494157	6058863	Intron (ENST00000379959.8/3559, intron 1 of 7)	10	6012797	6062290	49494	2	3559	ENST00000256876.10	3227	IL2RA
chr10	8563434	8563833	400	*	CD28-negative	1.09227726074404	+	345.341687334027	161.97231430992	8563633	Distal Intergenic	10	8259331	8268342	9012	2	100507143	ENST00000657469.1	-295092	LINC00708
chr10	11218311	11218710	400	*	CD28-negative	1.02217055319675	+	114.805279435441	56.5272506316498	11218510	Intron (ENST00000637215.1/10659, intron 4 of 14)	10	11165486	11329279	163794	1	10659	ENST00000354897.3	52825	CELF2
chr10	16799632	16800031	400	*	CD28-negative	1.09034205583832	+	83.326412493465	39.134250437296	16799831	Intron (ENST00000377921.7/6251, intron 1 of 7)	10	16590611	16817383	226773	2	6251	ENST00000377921.7	17352	RSU1
chr10	17126307	17126706	400	*	CD28-negative	1.31094119535172	+	62.0318848562461	25.0024377793836	17126506	Intron (ENST00000377833.10/8029, intron 4 of 66)	10	17121882	17127837	5956	2	8029	ENST00000433666.5	1131	CUBN
chr10	18643232	18643631	400	*	CD28-negative	1.01417037535292	+	76.8454692995288	38.0471879251489	18643431	Intron (ENST00000377304.7/221078, intron 2 of 10)	10	18545561	18651587	106027	2	221078	ENST00000377304.7	7956	NSUN6
chr10	30954267	30954666	400	*	CD28-negative	1.39290482585876	+	68.5128280501823	26.0895002915307	30954466	Intron (ENST00000331737.10/220929, intron 1 of 7)	10	30844634	30984426	139793	2	220929	ENST00000331737.10	29760	ZNF438
chr10	35035525	35035924	400	*	CD28-negative	1.27430489068092	+	65.7352809670668	27.1765628036778	35035724	Intron (ENST00000374746.5/8453, intron 8 of 18)	10	35008551	35071339	62789	2	8453	ENST00000374746.5	35415	CUL2
chr10	35540493	35540892	400	*	CD28-negative	1.13098404033567	+	49.995847496079	22.8283127550894	35540692	Intron (ENST00000374706.5/219771, intron 9 of 11)	10	35530196	35566285	36090	1	219771	ENST00000497692.1	10297	CCNY
chr10	45941171	45941570	400	*	CD28-negative	1.06386984447713	+	49.995847496079	23.9153752672365	45941370	Intron (ENST00000417555.2/728407, intron 6 of 11)	10	45888165	45972154	83990	2	728407	ENST00000417555.2	30584	NA
chr10	60643884	60644283	400	*	CD28-negative	1.27091430148015	+	62.9577338839513	26.0895002915307	60644083	Intron (ENST00000373827.6/288, intron 1 of 43)	10	60083939	60572909	488971	2	288	ENST00000622427.4	-70975	ANK3
chr10	62064138	62064537	400	*	CD28-negative	1.01457454822036	+	283.309802477781	140.231064066977	62064337	Intron (ENST00000279873.12/84159, intron 7 of 9)	10	62049211	62093064	43854	1	84159	ENST00000309334.5	14927	ARID5B
chr10	62225392	62225791	400	*	CD28-negative	1.06454605496099	+	359.229422749605	171.755876919244	62225591	Intron (ENST00000315289.6/219790, intron 1 of 8)	10	62183035	62236263	53229	2	219790	ENST00000315289.6	10472	RTKN2
chr10	67978736	67979135	400	*	CD28-negative	1.29679293330575	+	69.4386770778875	28.2636253158249	67978935	Intron (ENST00000277817.10/26091, intron 12 of 22)	10	67964792	67990241	25450	2	26091	ENST00000460168.1	11106	HERC4
chr10	70618152	70618551	400	*	CD28-negative	1.02322785997979	+	97.2141479090425	47.8307505344729	70618351	Distal Intergenic	10	70597348	70602759	5412	2	5551	ENST00000373209.2	-15393	PRF1
chr10	70742576	70742975	400	*	CD28-negative	1.12389461554935	+	80.5488654103495	36.9601254130018	70742775	Intron (ENST00000373207.2/140766, intron 12 of 21)	10	70771240	70772339	1100	2	219793	ENST00000394982.2	29364	TBATA
chr10	96063154	96063553	400	*	CD28-negative	1.29634551663574	+	344.415838306322	140.231064066977	96063353	Promoter	10	96064315	96064399	85	2	100422892	ENST00000578688.1	846	MIR3157
chr10	102770071	102770470	400	*	CD28-negative	1.19343554880243	+	134.248109017249	58.7013756559441	102770270	Intron (ENST00000448841.7/54838, intron 1 of 3)	10	102776249	102816267	40019	1	54838	ENST00000369889.5	-5779	WBP1L
chr10	102772259	102772658	400	*	CD28-negative	1.35337646167212	+	55.55094166231	21.7412502429422	102772458	Intron (ENST00000448841.7/54838, intron 1 of 3)	10	102776249	102816267	40019	1	54838	ENST00000369889.5	-3591	WBP1L
chr10	110324788	110325187	400	*	CD28-negative	1.16371524216854	+	224.05546470465	100.009751117534	110324987	Distal Intergenic	10	110297570	110304938	7369	2	10285	ENST00000674928.1	-19850	SMNDC1
chr10	114191727	114192126	400	*	CD28-negative	1.12455777117624	+	59.2543377731306	27.1765628036778	114191926	Intron (ENST00000369282.5/56165, intron 3 of 24)	10	114179590	114228417	48828	1	56165	ENST00000369280.1	12137	TDRD1
chr10	114261116	114261515	400	*	CD28-negative	1.02217055319675	+	86.1039595765805	42.3954379737374	114261315	5' UTR	10	114239356	114289873	50518	1	340706	ENST00000603594.2	21760	VWA2
chr10	119836802	119837201	400	*	CD28-negative	1.06568000160406	+	134.248109017249	64.1366882166796	119837001	Exon (ENST00000360003.7/79892, exon 13 of 16)	10	119819507	119823897	4391	1	22876	ENST00000490818.1	17295	INPP5F
chr10	121910629	121911028	400	*	CD28-negative	1.37846744263495	+	53.6992436068996	20.6541877307951	121910828	3' UTR	10	121743265	121927964	184700	2	11101	ENST00000423243.6	16936	ATE1
chr11	1792471	1792870	400	*	CD28-negative	1.28298713378072	+	37.0339611082067	15.2188751700596	1792670	Exon (ENST00000445859.1/ENST00000445859.1, exon 1 of 1)	11	1752755	1764573	11819	2	1509	ENST00000429746.2	-27898	CTSD
chr11	4020260	4020659	400	*	CD28-negative	1.28778812004454	+	39.8115081913221	16.3059376822067	4020459	Intron (ENST00000525403.5/6786, intron 2 of 4)	11	3999602	4070069	70468	1	6786	ENST00000527484.5	20658	STIM1
chr11	4146037	4146436	400	*	CD28-negative	1.00545315825181	+	61.106035828541	30.4377503401191	4146236	Exon (ENST00000641245.1/ENST00000641245.1, exon 2 of 2)	11	4122109	4126817	4709	1	6240	ENST00000529109.1	23928	RRM1
chr11	6201495	6201894	400	*	CD28-negative	1.07893729256607	+	291.642443727127	138.056939042683	6201694	Distal Intergenic	11	6199146	6200259	1114	1	120787	ENST00000311352.2	2349	OR52W1
chr11	6351774	6352173	400	*	CD28-negative	1.09522427721807	+	137.025656100365	64.1366882166796	6351973	Intron (ENST00000655261.1/ENST00000655261.1, intron 5 of 5)	11	6319144	6320532	1389	2	112464	ENST00000530979.1	-31242	PRKCDBP
chr11	9159094	9159493	400	*	CD28-negative	1.12596596556905	+	75.9196202718236	34.7860003887076	9159293	Intron (ENST00000328194.8/23258, intron 12 of 22)	11	9145062	9152407	7346	2	23258	ENST00000524446.2	-6687	DENND5A
chr11	15118417	15118816	400	*	CD28-negative	1.04775017911386	+	494.403380794559	239.153752672365	15118616	Intron (ENST00000379554.7/387755, intron 1 of 12)	11	15114923	15247208	132286	1	387755	ENST00000379556.8	3494	INSC
chr11	15216702	15217101	400	*	CD28-negative	1.07653625631329	+	48.1441494406686	22.8283127550894	15216901	Intron (ENST00000379554.7/387755, intron 7 of 12)	11	15235145	15246318	11174	1	387755	ENST00000526102.1	-18044	INSC
chr11	17369165	17369564	400	*	CD28-negative	1.03589427181595	+	60.1801868008358	29.350687827972	17369364	Intron (ENST00000338965.9/374383, intron 4 of 4)	11	17351899	17373654	21756	1	374383	ENST00000530403.1	17266	NCR3LG1
chr11	19442263	19442662	400	*	CD28-negative	1.16304524956797	+	216.648672483009	96.748563581093	19442462	Intron (ENST00000360655.8/89797, intron 1 of 37)	11	19504891	19505900	1010	2	100874012	ENST00000530652.1	63238	NAV2-AS5
chr11	26743611	26744010	400	*	CD28-negative	1.32784136956498	+	51.8475455514893	20.6541877307951	26743810	Distal Intergenic	11	26670813	26723427	52615	2	159963	ENST00000527405.5	-20184	SLC5A12
chr11	32382672	32383071	400	*	CD28-negative	1.05286735041966	+	87.9556576319908	42.3954379737374	32382871	Distal Intergenic	11	32389057	32392081	3025	2	7490	ENST00000650986.1	9010	WT1
chr11	34214888	34215287	400	*	CD28-negative	1.3433227970082	+	132.396410961839	52.1790005830614	34215087	Intron (ENST00000435224.3/25841, intron 1 of 16)	11	34173174	34242545	69372	2	25841	ENST00000530814.1	27258	ABTB2
chr11	35598550	35598949	400	*	CD28-negative	1.49959720252316	+	76.8454692995288	27.1765628036778	35598749	Distal Intergenic	11	35618460	35620865	2406	1	24147	ENST00000317811.6	-19511	FJX1
chr11	41309146	41309545	400	*	CD28-negative	1.58657563796515	+	62.0318848562461	20.6541877307951	41309345	Intron (ENST00000528697.6/57689, intron 1 of 6)	11	40648224	41459636	811413	2	57689	ENST00000534577.1	150091	LRRC4C
chr11	43413556	43413955	400	*	CD28-negative	1.01634147439455	+	35.1822630527963	17.3930001943538	43413755	Intron (ENST00000039989.9/55761, intron 15 of 23)	11	43404052	43405876	1825	1	55761	ENST00000530483.1	9504	TTC17
chr11	44551808	44552207	400	*	CD28-negative	1.40312949686922	+	54.6250926346048	20.6541877307951	44552007	Distal Intergenic	11	44564427	44615295	50869	1	3732	ENST00000526958.5	-12220	CD82
chr11	46445197	46445596	400	*	CD28-negative	1.12596596556905	+	37.9598101359118	17.3930001943538	46445396	Intron (ENST00000314845.7/55626, intron 12 of 18)	11	46451807	46451887	81	1	100422825	ENST00000637870.1	-6211	MIR3160-2
chr11	59829362	59829761	400	*	CD28-negative	1.02828108770607	+	84.2522615211701	41.3083754615903	59829561	3' UTR	11	59831531	59835927	4397	2	2694	ENST00000533067.1	6166	GIF
chr11	60307843	60308242	400	*	CD28-negative	1.65823104320054	+	58.3284887454255	18.4800627065009	60308042	3' UTR	11	60305733	60308364	2632	1	51338	ENST00000529991.1	2110	MS4A4A
chr11	68047223	68047622	400	*	CD28-negative	1.35337646167212	+	36.1081120805015	14.1318126579125	68047422	Promoter	11	68047474	68048332	859	1	10312	ENST00000525516.1	0	TCIRG1
chr11	71914733	71915132	400	*	CD28-negative	1.08418982885673	+	108.324336241504	51.0919380709143	71914932	Intron (ENST00000532852.5/100133315, intron 3 of 3)	11	71903660	71917238	13579	2	100133315	ENST00000528560.2	2106	NA
chr11	72353147	72353546	400	*	CD28-negative	1.19064696163401	+	62.0318848562461	27.1765628036778	72353346	Promoter	11	72302308	72352566	50259	2	81570	ENST00000645650.1	-581	CLPB
chr11	73360453	73360852	400	*	CD28-negative	1.12205091556566	+	42.5890552744376	19.567125218648	73360652	Exon (ENST00000263674.4/9828, exon 11 of 21)	11	73364214	73365122	909	1	9828	ENST00000536481.1	-3362	ARHGEF17
chr11	75100281	75100680	400	*	CD28-negative	1.05220692695155	+	155.542636654468	75.0073133381507	75100480	Promoter	11	75100563	75188233	87671	1	11309	ENST00000526660.5	0	SLCO2B1
chr11	84496110	84496509	400	*	CD28-negative	1.59284239636751	+	78.6971673549391	26.0895002915307	84496309	Intron (ENST00000398309.6/1740, intron 2 of 22)	11	84098995	84437809	338815	2	1740	ENST00000527466.1	-58301	DLG2
chr11	85779830	85780229	400	*	CD28-negative	1.05964525861541	+	86.1039595765805	41.3083754615903	85780029	Intron (ENST00000389960.8/54843, intron 1 of 18)	11	85694224	85758069	63846	2	54843	ENST00000359152.9	-21761	SYTL2
chr11	86008105	86008504	400	*	CD28-negative	1.19627550058739	+	104.620940130684	45.6566255101787	86008304	Intron (ENST00000393346.8/8301, intron 7 of 19)	11	86001031	86003778	2748	2	8301	ENST00000533350.1	-4327	PICALM
chr11	95222829	95223228	400	*	CD28-negative	1.43583862186409	+	49.995847496079	18.4800627065009	95223028	Intron (ENST00000657854.1/100129203, intron 2 of 3)	11	95230186	95233929	3744	1	100129203	ENST00000536683.5	-6958	NA
chr11	100576405	100576804	400	*	CD28-negative	1.29197591700797	+	42.5890552744376	17.3930001943538	100576604	Distal Intergenic	11	100687288	100993941	306654	1	143872	ENST00000298815.13	-110484	ARHGAP42
chr11	105192130	105192529	400	*	CD28-negative	1.05792057814595	+	40.7373572190273	19.567125218648	105192329	Intron (ENST00000649856.1/59082, intron 4 of 7)	11	105137714	105139769	2056	2	59082	ENST00000530950.2	-52361	CARD18
chr11	107864162	107864561	400	*	CD28-negative	1.13950811264221	+	359.229422749605	163.059376822067	107864361	Intron (ENST00000525071.5/54733, intron 2 of 10)	11	107792598	107858808	66211	2	54733	ENST00000533664.1	-5354	SLC35F2
chr11	111417737	111418136	400	*	CD28-negative	1.13098404033567	+	133.322259989544	60.8755006802383	111417936	Promoter	11	111414242	111418186	3945	2	100132078	ENST00000528614.1	50	RP11-794P6.1
chr11	111526606	111527005	400	*	CD28-negative	1.07297492386824	+	267.570369006793	127.186313921212	111526805	Exon (ENST00000530283.1/ENST00000530283.1, exon 1 of 2)	11	111516042	111537031	20990	1	399949	ENST00000529661.1	10564	C11orf88
chr11	112874966	112875365	400	*	CD28-negative	1.21772136231455	+	65.7352809670668	28.2636253158249	112875165	Distal Intergenic	11	112961247	113265195	303949	1	4684	ENST00000621518.4	-85882	NCAM1
